artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,track_name,preview_url,track_number,type,track_uri,is_local,external_urls.spotify,album_name,key_name,mode_name,key_mode
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,60f7DBZ5BIKTlaGak6ooUU,album,,2016-08-19,2016,day,0.428,0.585,6,-11.289,1,0.038,0.301,0.461,0.0846,0.0397,148.141,2LMrqSBtKQ8dbWxBXUmM72,https://api.spotify.com/v1/audio-analysis/2LMrqSBtKQ8dbWxBXUmM72,4,,,1,152840,FALSE,https://api.spotify.com/v1/tracks/2LMrqSBtKQ8dbWxBXUmM72,Femen,https://p.scdn.co/mp3-preview/93b58001b783ba4eb9c295c13740e126106fbf44?cid=44d2bf313213443d937a4d3c616f0bdf,1,track,spotify:track:2LMrqSBtKQ8dbWxBXUmM72,FALSE,https://open.spotify.com/track/2LMrqSBtKQ8dbWxBXUmM72,Amnesty (I),F#,major,F# major
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,60f7DBZ5BIKTlaGak6ooUU,album,,2016-08-19,2016,day,0.476,0.798,1,-6.699,1,0.229,0.00469,0.156,0.156,0.219,128.511,2tdfTvq5PrseNIZIuJyz2v,https://api.spotify.com/v1/audio-analysis/2tdfTvq5PrseNIZIuJyz2v,4,,,1,155106,FALSE,https://api.spotify.com/v1/tracks/2tdfTvq5PrseNIZIuJyz2v,Fleece,https://p.scdn.co/mp3-preview/f5bdc7eb1d63f88b588c07bd80a2c5557a88552c?cid=44d2bf313213443d937a4d3c616f0bdf,2,track,spotify:track:2tdfTvq5PrseNIZIuJyz2v,FALSE,https://open.spotify.com/track/2tdfTvq5PrseNIZIuJyz2v,Amnesty (I),C#,major,C# major
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,60f7DBZ5BIKTlaGak6ooUU,album,,2016-08-19,2016,day,0.646,0.843,8,-6.644,0,0.131,0.018,0.0733,0.32,0.351,100.004,2mHngbc9wHeVuJr59VCV2h,https://api.spotify.com/v1/audio-analysis/2mHngbc9wHeVuJr59VCV2h,4,,,1,188333,FALSE,https://api.spotify.com/v1/tracks/2mHngbc9wHeVuJr59VCV2h,Char,https://p.scdn.co/mp3-preview/d6565eca087ba9e50bdc6975c45975b329930d72?cid=44d2bf313213443d937a4d3c616f0bdf,3,track,spotify:track:2mHngbc9wHeVuJr59VCV2h,FALSE,https://open.spotify.com/track/2mHngbc9wHeVuJr59VCV2h,Amnesty (I),G#,minor,G# minor
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,60f7DBZ5BIKTlaGak6ooUU,album,,2016-08-19,2016,day,0.58,0.854,5,-8.516,0,0.175,0.00371,0.18,0.119,0.177,127.091,6YcfAU2P3KETyULHliTWXn,https://api.spotify.com/v1/audio-analysis/6YcfAU2P3KETyULHliTWXn,4,,,1,209080,FALSE,https://api.spotify.com/v1/tracks/6YcfAU2P3KETyULHliTWXn,Enth,https://p.scdn.co/mp3-preview/629d77f4d7c2ae5e8a5ea773d18bf71f006ab7e3?cid=44d2bf313213443d937a4d3c616f0bdf,4,track,spotify:track:6YcfAU2P3KETyULHliTWXn,FALSE,https://open.spotify.com/track/6YcfAU2P3KETyULHliTWXn,Amnesty (I),F,minor,F minor
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,60f7DBZ5BIKTlaGak6ooUU,album,,2016-08-19,2016,day,0.565,0.66,11,-8.117,0,0.451,0.539,5.62e-6,0.243,0.638,73.563,11FTDESnUZnbttiZT3MNF2,https://api.spotify.com/v1/audio-analysis/11FTDESnUZnbttiZT3MNF2,4,,,1,150093,FALSE,https://api.spotify.com/v1/tracks/11FTDESnUZnbttiZT3MNF2,Sadist,https://p.scdn.co/mp3-preview/f6215d2a0ebb32fea89c99fb640e2d61e64488ed?cid=44d2bf313213443d937a4d3c616f0bdf,5,track,spotify:track:11FTDESnUZnbttiZT3MNF2,FALSE,https://open.spotify.com/track/11FTDESnUZnbttiZT3MNF2,Amnesty (I),B,minor,B minor
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,60f7DBZ5BIKTlaGak6ooUU,album,,2016-08-19,2016,day,0.0976,0.833,7,-9.953,1,0.0846,0.275,0.691,0.232,0.165,80.506,17Gyli3xn2LFTtH7aJF2hI,https://api.spotify.com/v1/audio-analysis/17Gyli3xn2LFTtH7aJF2hI,3,,,1,115893,FALSE,https://api.spotify.com/v1/tracks/17Gyli3xn2LFTtH7aJF2hI,Teach Her How To Hunt,https://p.scdn.co/mp3-preview/914f1085c7bccf7769b5137070e76311422ba9fa?cid=44d2bf313213443d937a4d3c616f0bdf,6,track,spotify:track:17Gyli3xn2LFTtH7aJF2hI,FALSE,https://open.spotify.com/track/17Gyli3xn2LFTtH7aJF2hI,Amnesty (I),G,major,G major
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,60f7DBZ5BIKTlaGak6ooUU,album,,2016-08-19,2016,day,0.444,0.542,8,-8.191,0,0.0312,0.019,0.623,0.0985,0.097,132.842,6jTpdkPWw4QT7VOgUYqrsK,https://api.spotify.com/v1/audio-analysis/6jTpdkPWw4QT7VOgUYqrsK,4,,,1,188960,FALSE,https://api.spotify.com/v1/tracks/6jTpdkPWw4QT7VOgUYqrsK,Chloroform,https://p.scdn.co/mp3-preview/3a5fbd5aa64fd6a8930d38ec2d267d0fc9453b4b?cid=44d2bf313213443d937a4d3c616f0bdf,7,track,spotify:track:6jTpdkPWw4QT7VOgUYqrsK,FALSE,https://open.spotify.com/track/6jTpdkPWw4QT7VOgUYqrsK,Amnesty (I),G#,minor,G# minor
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,60f7DBZ5BIKTlaGak6ooUU,album,,2016-08-19,2016,day,0.469,0.814,1,-6.6,1,0.0648,0.00864,0.608,0.266,0.19,123.364,5fW86jOUa4U8EqYRWpNNa4,https://api.spotify.com/v1/audio-analysis/5fW86jOUa4U8EqYRWpNNa4,4,,,1,169160,FALSE,https://api.spotify.com/v1/tracks/5fW86jOUa4U8EqYRWpNNa4,Frail,https://p.scdn.co/mp3-preview/f75dacf8ac63d17417512b29d8559df5957f6b2d?cid=44d2bf313213443d937a4d3c616f0bdf,8,track,spotify:track:5fW86jOUa4U8EqYRWpNNa4,FALSE,https://open.spotify.com/track/5fW86jOUa4U8EqYRWpNNa4,Amnesty (I),C#,major,C# major
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,60f7DBZ5BIKTlaGak6ooUU,album,,2016-08-19,2016,day,0.477,0.783,9,-7.946,0,0.045,1.77e-4,0.559,0.173,0.215,129.004,3gViuwP0HzumvGELo6ucL7,https://api.spotify.com/v1/audio-analysis/3gViuwP0HzumvGELo6ucL7,4,,,1,196493,FALSE,https://api.spotify.com/v1/tracks/3gViuwP0HzumvGELo6ucL7,Concrete,https://p.scdn.co/mp3-preview/7fe01595063825d098481de037117916c95d3047?cid=44d2bf313213443d937a4d3c616f0bdf,9,track,spotify:track:3gViuwP0HzumvGELo6ucL7,FALSE,https://open.spotify.com/track/3gViuwP0HzumvGELo6ucL7,Amnesty (I),A,minor,A minor
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,60f7DBZ5BIKTlaGak6ooUU,album,,2016-08-19,2016,day,0.41,0.674,6,-8.868,0,0.43,0.138,0.004,0.173,0.263,100.161,2963ufsnHaEzxjyPovofh7,https://api.spotify.com/v1/audio-analysis/2963ufsnHaEzxjyPovofh7,4,,,1,247506,FALSE,https://api.spotify.com/v1/tracks/2963ufsnHaEzxjyPovofh7,Ornament,https://p.scdn.co/mp3-preview/9b0e4cd4c72241ac09fd27ef623138a14d9b5242?cid=44d2bf313213443d937a4d3c616f0bdf,10,track,spotify:track:2963ufsnHaEzxjyPovofh7,FALSE,https://open.spotify.com/track/2963ufsnHaEzxjyPovofh7,Amnesty (I),F#,minor,F# minor
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,60f7DBZ5BIKTlaGak6ooUU,album,,2016-08-19,2016,day,0.206,0.543,6,-8.513,0,0.105,0.0483,0.138,0.0738,0.0837,196.825,10n83bsDQRYpTKaNjX4wAE,https://api.spotify.com/v1/audio-analysis/10n83bsDQRYpTKaNjX4wAE,3,,,1,225453,FALSE,https://api.spotify.com/v1/tracks/10n83bsDQRYpTKaNjX4wAE,Their Kindness Is Charade,https://p.scdn.co/mp3-preview/1e4d109e63fa85a39e6d1e217fafc46314073542?cid=44d2bf313213443d937a4d3c616f0bdf,11,track,spotify:track:10n83bsDQRYpTKaNjX4wAE,FALSE,https://open.spotify.com/track/10n83bsDQRYpTKaNjX4wAE,Amnesty (I),F#,minor,F# minor
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,1NIfkZIYVAO6vnfmFOilHc,album,,2012-01-01,2012,day,0.437,0.649,11,-9.473,0,0.0675,0.0195,0.822,0.104,0.0417,130.169,3lfQVVHkh8vFPi7LraIlMR,https://api.spotify.com/v1/audio-analysis/3lfQVVHkh8vFPi7LraIlMR,4,,,1,295880,FALSE,https://api.spotify.com/v1/tracks/3lfQVVHkh8vFPi7LraIlMR,Plague,NA,1,track,spotify:track:3lfQVVHkh8vFPi7LraIlMR,FALSE,https://open.spotify.com/track/3lfQVVHkh8vFPi7LraIlMR,(III),B,minor,B minor
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,1NIfkZIYVAO6vnfmFOilHc,album,,2012-01-01,2012,day,0.519,0.546,8,-9.368,1,0.0763,0.0827,0,0.133,0.0862,115.799,6E1YebXpPPtujMUljDNlOo,https://api.spotify.com/v1/audio-analysis/6E1YebXpPPtujMUljDNlOo,4,,,1,192000,FALSE,https://api.spotify.com/v1/tracks/6E1YebXpPPtujMUljDNlOo,Kerosene,NA,2,track,spotify:track:6E1YebXpPPtujMUljDNlOo,FALSE,https://open.spotify.com/track/6E1YebXpPPtujMUljDNlOo,(III),G#,major,G# major
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,1NIfkZIYVAO6vnfmFOilHc,album,,2012-01-01,2012,day,0.396,0.626,0,-9.41,1,0.0515,0.00263,0.746,0.106,0.338,129.979,1gjF5BzRNNpY6OaRXF9L18,https://api.spotify.com/v1/audio-analysis/1gjF5BzRNNpY6OaRXF9L18,4,,,1,186626,FALSE,https://api.spotify.com/v1/tracks/1gjF5BzRNNpY6OaRXF9L18,Wrath Of God,NA,3,track,spotify:track:1gjF5BzRNNpY6OaRXF9L18,FALSE,https://open.spotify.com/track/1gjF5BzRNNpY6OaRXF9L18,(III),C,major,C major
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,1NIfkZIYVAO6vnfmFOilHc,album,,2012-01-01,2012,day,0.656,0.829,4,-7.107,0,0.0459,0.0575,0.00783,0.137,0.576,124.64,3AFpIlNR4DEJ1WC7qyOHU8,https://api.spotify.com/v1/audio-analysis/3AFpIlNR4DEJ1WC7qyOHU8,4,,,1,156706,FALSE,https://api.spotify.com/v1/tracks/3AFpIlNR4DEJ1WC7qyOHU8,Affection,NA,4,track,spotify:track:3AFpIlNR4DEJ1WC7qyOHU8,FALSE,https://open.spotify.com/track/3AFpIlNR4DEJ1WC7qyOHU8,(III),E,minor,E minor
